# gene name,C1,C2,C3,C4,E1,E2,E3,E4
gdhA,8.16E-05,7.59E-05,1.07E-04,1.02E-04,2.82E-04,2.45E-04,2.96E-04,2.70E-04
uvrA,1.27E-03,1.29E-03,1.27E-03,1.29E-03,1.03E-03,1.05E-03,1.08E-03,1.00E-03
hdhA,1.73E-06,1.39E-05,6.63E-06,2.96E-05,1.96E-04,2.32E-04,1.85E-04,2.42E-04
yecI,3.29E-05,3.21E-05,2.61E-05,3.32E-05,7.64E-05,8.07E-05,9.20E-05,9.02E-05
galP,3.64E-04,3.49E-04,4.00E-04,3.85E-04,2.10E-04,2.28E-04,2.28E-04,1.77E-04
malE,3.39E-04,3.34E-04,3.82E-04,3.69E-04,1.70E-04,2.14E-04,2.18E-04,2.00E-04
ilvG_1,4.53E-04,4.96E-04,3.19E-04,4.15E-04,9.18E-04,9.34E-04,8.22E-04,9.86E-04
hdeA,2.89E-04,3.23E-04,1.32E-04,2.17E-04,8.03E-04,9.73E-04,7.49E-04,7.89E-04
pheA,1.39E-04,9.94E-05,5.01E-05,7.57E-05,3.94E-04,3.42E-04,2.92E-04,3.37E-04
hybC,3.80E-04,3.61E-04,3.28E-04,3.47E-04,2.39E-04,2.13E-04,2.56E-04,2.28E-04
livG,1.72E-04,1.56E-04,1.61E-04,2.28E-04,5.27E-07,5.83E-06,4.35E-05,2.26E-05
rmf,1.11E-04,7.85E-05,3.65E-06,3.85E-05,1.27E-03,1.93E-03,1.51E-03,1.18E-03
ydjA,1.21E-04,1.17E-04,1.11E-04,9.26E-05,1.63E-04,1.82E-04,1.87E-04,1.82E-04
hybA,3.51E-04,3.24E-04,3.66E-04,3.71E-04,2.39E-04,2.39E-04,2.69E-04,2.39E-04
gltD,6.72E-04,5.77E-04,3.70E-04,4.91E-04,1.20E-05,2.50E-05,2.61E-05,4.64E-05
glpA,1.31E-04,1.25E-04,1.37E-04,1.17E-04,6.83E-05,7.71E-05,8.82E-05,8.67E-05
yhcB,4.21E-05,3.98E-05,4.65E-05,4.16E-05,6.04E-05,6.64E-05,7.44E-05,7.22E-05
