ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_4585642-S	1.66e-29	1.96e-33	1.336.143	6.509.969	0.999268	ZNF264	zinc finger protein 264
GI_34577121-S	7.03e-27	1.66e-30	12.606.905	5.847.432	0.5466594	NFKB1	nuclear factor kappa B subunit 1
GI_24308166-S	1.32e-26	4.68e-30	-12.489.662	5.745.775	-0.8066846	SVOP	SV2 related protein
GI_13376557-S	4.39e-25	2.08e-28	12.056.099	5.373.183	10.428.033		
GI_27734844-S	7.60e-25	4.50e-28	-11.967.011	5.297.304	-0.7295587	ZDHHC23	zinc finger DHHC-type containing 23
GI_7706261-S	3.55e-24	2.54e-27	-11.766.399	5.127.328	-0.8406233	ATP6V1H	ATPase H+ transporting V1 subunit H
GI_37547175-S	3.55e-24	2.94e-27	11.749.122	5.112.749	0.4587016	DSTYK	dual serine/threonine and tyrosine protein kinase
GI_44917603-S	9.67e-24	9.16e-27	11.616.688	5.001.312	10.143.957	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1
GI_32306514-S	1.24e-23	1.32e-26	11.574.127	496.562	0.7497879	HSPB2	heat shock protein family B (small) member 2
GI_30089918-A	1.57e-23	1.86e-26	11.533.709	493.178	0.3974757	POLDIP3	DNA polymerase delta interacting protein 3
GI_9624970-S	2.49e-23	3.24e-26	11.468.227	4.877.072	10.725.459	C21orf62	chromosome 21 open reading frame 62
GI_31377840-S	1.16e-22	1.65e-25	11.276.237	471.751	0.819687	FAM63A	family with sequence similarity 63 member A
GI_31442419-S	2.60e-22	4.00e-25	11.170.657	4.630.311	0.8767188	SHROOM1	shroom family member 1
GI_34335274-A	2.78e-22	4.60e-25	11.154.035	4.616.618	0.8711812		
GI_13376477-S	2.80e-22	4.97e-25	11.144.834	4.609.044	10.211.198		
GI_19923550-S	4.25e-22	8.05e-25	-11.087.317	456.176	-0.5707326	LANCL2	LanC like 2
GI_14150038-S	4.35e-22	8.75e-25	-11.077.261	4.553.506	-0.6401689	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1
GI_29126235-S	5.00e-22	1.07e-24	-11.053.751	4.534.222	-0.9177446		
GI_40317630-S	1.05e-21	2.35e-24	10.958.749	4.456.504	0.4861426	ZHX3	zinc fingers and homeoboxes 3
GI_4758939-S	1.09e-21	2.59e-24	-10.947.072	4.446.974	-0.5246348	C14orf2	chromosome 14 open reading frame 2
GI_27777635-S	2.67e-21	6.63e-24	1.083.367	4.354.693	0.5668859	TCF3	transcription factor 3
GI_40255010-S	1.04e-20	2.70e-23	10.663.192	4.216.889	0.6854471	SLC35E1	solute carrier family 35 member E1
GI_5803097-S	1.49e-20	4.07e-23	10.613.167	4.176.667	0.6100998	KAT6A	lysine acetyltransferase 6A
GI_7657541-S	2.34e-20	6.95e-23	10.547.732	4.124.204	0.9176869	SCN11A	sodium voltage-gated channel alpha subunit 11
GI_22202613-I	2.34e-20	6.95e-23	10.547.649	4.124.137	0.7268846		
GI_25168266-A	2.34e-20	7.46e-23	10.538.971	4.117.192	0.9669785	SGK3	serum/glucocorticoid regulated kinase family member 3
GI_32481208-A	2.34e-20	7.47e-23	10.538.804	4.117.059	0.6794091	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
GI_11056009-S	3.75e-20	1.24e-22	10.476.269	4.067.103	0.9161531	PBOV1	prostate and breast cancer overexpressed 1
GI_31543651-S	3.89e-20	1.34e-22	10.467.333	4.059.977	0.4860307	SPOP	speckle type BTB/POZ protein
GI_11496238-S	4.08e-20	1.45e-22	10.457.286	405.197	0.5275296	RELA	RELA proto-oncogene, NF-kB subunit
GI_32261315-S	5.04e-20	1.85e-22	10.427.407	402.818	0.876693	ZNF665	zinc finger protein 665
GI_23510444-S	5.39e-20	2.04e-22	10.415.049	4.018.351	0.9832623	TNFSF15	tumor necrosis factor superfamily member 15
GI_4502860-S	6.30e-20	2.46e-22	-10.392.125	4.000.136	-0.3739899	AP3S1	adaptor related protein complex 3 sigma 1 subunit
GI_40254954-S	8.51e-20	3.43e-22	10.351.164	3.967.641	0.838137		
GI_41281388-S	1.00e-19	4.15e-22	-10.327.378	3.948.803	-0.4896797	NRCAM	neuronal cell adhesion molecule
GI_31742514-A	1.19e-19	5.07e-22	1.030.252	3.929.142	0.9228606	FXN	frataxin
GI_4826967-S	1.46e-19	6.38e-22	10.273.965	3.906.588	0.6948612		
GI_21361950-S	1.58e-19	7.12e-22	10.260.453	3.895.929	0.8079001	WDR82	WD repeat domain 82
GI_31543180-S	1.85e-19	8.52e-22	-10.237.965	3.878.203	-0.7552469	PCYOX1L	prenylcysteine oxidase 1 like
GI_21264595-A	2.04e-19	9.65e-22	1.022.254	3.866.058	0.5917241	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
GI_6005967-S	2.05e-19	9.95e-22	10.218.746	3.863.072	0.7096048	VEZF1	vascular endothelial zinc finger 1
GI_40549398-S	2.34e-19	1.16e-21	-10.199.185	3.847.687	-0.3306013	CHMP4B	charged multivesicular body protein 4B
GI_33469967-A	2.64e-19	1.34e-21	10.181.161	3.833.526	0.754033	MCM7	minichromosome maintenance complex component 7
GI_42516568-S	3.21e-19	1.67e-21	10.154.061	3.812.259	0.8761886	TRIP10	thyroid hormone receptor interactor 10
GI_40255146-S	3.33e-19	1.81e-21	10.144.051	3.804.412	0.8833236	GPR155	G protein-coupled receptor 155
GI_37552185-S	3.33e-19	1.81e-21	10.143.652	38.041	0.7988794		
GI_19743876-S	3.45e-19	1.92e-21	10.136.476	3.798.477	0.5998709	RFX1	regulatory factor X1
GI_31083052-S	3.63e-19	2.08e-21	10.126.523	3.790.682	13.944.263	CLN8	ceroid-lipofuscinosis, neuronal 8
GI_42660461-S	3.63e-19	2.10e-21	10.125.136	3.789.596	0.615688		
GI_5729919-S	4.01e-19	2.39e-21	-10.109.385	377.727	-0.4975898	ME3	malic enzyme 3
GI_23097273-S	4.01e-19	2.44e-21	-10.106.536	3.775.041	-0.8503689	TMEM130	transmembrane protein 130
GI_29029562-A	4.01e-19	2.47e-21	10.105.237	3.774.026	0.7736393	THEM4	thioesterase superfamily member 4
GI_22035587-A	4.19e-19	2.63e-21	-10.097.369	3.767.873	-0.9539078	MRPL24	mitochondrial ribosomal protein L24
GI_32698850-S	4.23e-19	2.70e-21	10.093.796	3.765.081	0.8677206	MAGEB10	MAGE family member B10
GI_24475638-S	4.24e-19	2.81e-21	10.089.001	3.761.334	0.7706434		
GI_17402889-A	4.24e-19	2.81e-21	-10.088.725	3.761.117	-0.830709		
GI_22749374-S	4.43e-19	3.01e-21	10.080.088	3.754.371	0.908631		
GI_14249445-S	4.43e-19	3.04e-21	10.078.787	3.753.355	0.7988344	CBR4	carbonyl reductase 4
GI_30260186-A	4.85e-19	3.45e-21	-10.063.178	3.741.171	-0.5386483	ATPIF1	ATPase inhibitory factor 1
GI_42659497-S	4.85e-19	3.45e-21	10.063.167	3.741.162	10.761.536		
GI_41055004-S	5.54e-19	4.00e-21	10.044.519	372.662	0.6074688	TTC17	tetratricopeptide repeat domain 17
GI_32699014-S	6.67e-19	4.89e-21	10.019.047	3.706.781	0.9141787	ZNF454	zinc finger protein 454
GI_18641367-A	6.78e-19	5.05e-21	1.001.504	3.703.663	0.5857942	MXI1	MAX interactor 1, dimerization protein
GI_37620162-I	7.02e-19	5.32e-21	10.008.547	3.698.611	0.6346036	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough
GI_20070291-S	7.17e-19	5.51e-21	1.000.404	3.695.106	0.7455628	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12
GI_21166356-S	7.25e-19	5.66e-21	-1.000.073	3.692.532	-0.3099327	LETMD1	LETM1 domain containing 1
GI_45238856-S	8.65e-19	6.91e-21	-9.975.541	3.672.962	-0.804376	GPRASP2	G protein-coupled receptor associated sorting protein 2
GI_37546229-S	8.65e-19	6.96e-21	-9.974.662	3.672.279	-0.346234	BEX4	brain expressed X-linked 4
GI_4826969-S	8.71e-19	7.11e-21	9.971.893	367.013	0.7630581	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit
GI_40806165-A	1.06e-18	8.75e-21	-9.945.722	364.983	-0.2204967	UBE2V1	ubiquitin conjugating enzyme E2 V1
GI_8922676-S	1.08e-18	9.07e-21	9.941.204	3.646.329	0.9247948	COA1	cytochrome c oxidase assembly factor 1 homolog
GI_37221178-S	1.10e-18	9.40e-21	9.936.625	3.642.781	0.7743562	KANK2	KN motif and ankyrin repeat domains 2
GI_7662107-S	1.14e-18	9.96e-21	-992.928	3.637.092	-0.4662924	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9
GI_19923329-S	1.14e-18	9.97e-21	9.929.202	3.637.031	0.5158202	CTDSP2	CTD small phosphatase 2
GI_21536370-S	1.20e-18	1.07e-20	9.920.379	3.630.201	0.8679095	TEP1	telomerase associated protein 1
GI_32455270-S	1.27e-18	1.14e-20	9.911.812	3.623.572	0.4874029	POMT2	protein O-mannosyltransferase 2
GI_31982918-S	1.30e-18	1.19e-20	9.907.147	3.619.964	0.7857604	ZNF430	zinc finger protein 430
GI_17149840-A	1.40e-18	1.29e-20	-9.896.241	3.611.532	-0.6007546	FKBP1B	FK506 binding protein 1B
GI_40255110-S	1.53e-18	1.43e-20	988.366	3.601.813	0.9359471	C5orf24	chromosome 5 open reading frame 24
GI_4507728-S	1.61e-18	1.54e-20	-9.874.111	359.444	-0.7539187	TUBB2A	tubulin beta 2A class IIa
GI_40353762-S	1.61e-18	1.54e-20	-987.409	3.594.424	-0.4311594	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)
GI_24475733-S	1.64e-18	1.59e-20	9.869.979	3.591.251	0.527483	CASC3	cancer susceptibility candidate 3
GI_14249537-S	1.71e-18	1.68e-20	9.862.708	358.564	0.8525424	ORAI2	ORAI calcium release-activated calcium modulator 2
GI_37543779-S	1.79e-18	1.78e-20	-9.855.882	3.580.377	-0.5152382		
GI_21361550-S	1.79e-18	1.80e-20	9.854.363	3.579.205	0.6586896	SLC4A2	solute carrier family 4 member 2
GI_4506374-S	2.07e-18	2.10e-20	98.344	3.563.823	0.7819911	RAB29	RAB29, member RAS oncogene family
GI_24371267-S	2.15e-18	2.21e-20	-9.828.091	3.558.965	-0.7060648	NAP1L5	nucleosome assembly protein 1 like 5
GI_21265077-S	2.49e-18	2.59e-20	-9.807.796	3.543.351	-0.4025535	MRPL15	mitochondrial ribosomal protein L15
GI_29744077-S	2.85e-18	3.00e-20	-9.789.003	3.528.909	-0.9496002	BEX5	brain expressed X-linked 5
GI_37577134-S	3.03e-18	3.22e-20	-9.779.999	3.521.995	-0.73423	UBE2N	ubiquitin conjugating enzyme E2 N
GI_45333897-S	3.90e-18	4.20e-20	9.746.183	3.496.064	0.9278807	FAM43A	family with sequence similarity 43 member A
GI_33186900-S	3.99e-18	4.35e-20	974.177	3.492.683	1.029.246	FAM101B	family with sequence similarity 101 member B
GI_41393611-A	5.05e-18	5.55e-20	-9.710.344	3.468.637	-0.44345	RTN3	reticulon 3
GI_19923461-S	5.44e-18	6.05e-20	9.699.392	3.460.267	0.4454966	PHF21A	PHD finger protein 21A
GI_7656980-I	5.71e-18	6.42e-20	9.691.676	3.454.375	0.6588252	CLDN15	claudin 15
GI_8922870-S	5.85e-18	6.65e-20	9.687.246	3.450.992	0.7600562	OLAH	oleoyl-ACP hydrolase
GI_4505336-S	5.86e-18	6.72e-20	9.685.851	3.449.927	0.4014535	NUBP1	nucleotide binding protein 1
GI_4505248-S	6.18e-18	7.16e-20	9.677.664	3.443.679	0.7059734	MSH3	mutS homolog 3
GI_34305454-S	6.40e-18	7.50e-20	9.671.735	3.439.157	0.3890159	GCC1	GRIP and coiled-coil domain containing 1
GI_19743835-S	7.12e-18	8.43e-20	-9.656.813	3.427.782	-0.6341001	TARBP1	TAR (HIV-1) RNA binding protein 1
GI_37594440-S	7.92e-18	9.47e-20	9.641.767	3.416.322	0.7779092	ZNF136	zinc finger protein 136
GI_7662073-S	7.96e-18	9.61e-20	9.639.907	3.414.906	0.3863983	ZBTB5	zinc finger and BTB domain containing 5
GI_34222193-S	8.74e-18	1.07e-19	9.626.533	340.473	0.7804553	GNL3L	G protein nucleolar 3 like
GI_7706334-S	9.71e-18	1.19e-19	9.611.849	3.393.567	0.7495784	TMBIM4	transmembrane BAX inhibitor motif containing 4
GI_19923501-S	1.00e-17	1.25e-19	9.606.302	3.389.353	0.3784664	GATAD2A	GATA zinc finger domain containing 2A
GI_10800415-S	1.01e-17	1.27e-19	-9.604.283	3.387.819	-10.214.753	SCG2	secretogranin II
GI_29171751-I	1.12e-17	1.41e-19	9.590.059	3.377.021	0.3749549	PPFIA1	PTPRF interacting protein alpha 1
GI_34147701-S	1.18e-17	1.51e-19	9.581.437	337.048	0.7816772	C2orf15	chromosome 2 open reading frame 15
GI_31377625-S	1.31e-17	1.68e-19	9.567.478	3.359.897	0.7118896	DUSP19	dual specificity phosphatase 19
GI_5453713-S	1.40e-17	1.82e-19	9.557.394	3.352.258	0.6903769	PDLIM5	PDZ and LIM domain 5
GI_28558997-A	1.40e-17	1.83e-19	9.556.495	3.351.577	0.5036405		
GI_24850132-S	1.43e-17	1.90e-19	9.552.215	3.348.336	0.788706	PIAS4	protein inhibitor of activated STAT 4
GI_10092618-S	1.48e-17	1.98e-19	9.546.356	3.343.901	0.6091326	NFKBIA	NFKB inhibitor alpha
GI_19913437-S	1.71e-17	2.31e-19	-9.526.528	3.328.905	-0.4415668	ATP6V1D	ATPase H+ transporting V1 subunit D
GI_31377810-S	1.93e-17	2.62e-19	951.011	3.316.502	0.4722996	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
GI_34222336-S	1.95e-17	2.68e-19	-9.507.367	3.314.431	-0.5356083	C3orf14	chromosome 3 open reading frame 14
GI_37547509-S	1.95e-17	2.72e-19	-9.505.556	3.313.063	-0.4603412		
GI_8923109-S	1.95e-17	2.72e-19	9.505.418	3.312.959	0.8264288	NDE1	nudE neurodevelopment protein 1
GI_31377778-S	1.96e-17	2.76e-19	9.503.575	3.311.568	0.5284071	STK38	serine/threonine kinase 38
GI_4557588-S	1.97e-17	2.80e-19	9.501.472	3.309.981	10.678.151	FANCC	Fanconi anemia complementation group C
GI_33519467-S	1.99e-17	2.84e-19	-9.499.616	3.308.581	-0.4044871	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5
